,user,review,date,user_score,review_votes,review_upvotes,review_downvotes,language
128,MTurnerFilms,"The expectations for the finale of this generation of Avengers was larger than life, yet they managed to over deliver. Minus a few odd moments of messy plot delivery this film is near perfect.",2019-05-07,9,46,32,14,English
129,VGCOMICS,Best movie ever made! Avengers: Endgame is the film that transmits all the possible emotions: from sadness to happiness going by suspense and ending in a epic catharsis that sneaks into the history of cinema.,2019-04-28,10,46,32,14,English
130,BryTranMan,Avengers Endgame not only ends the Infinity Saga in spectacular fashion but also ends the series in a way that makes the past 11 years of MCU movies and experiences very fulfilling.,2019-04-30,10,46,32,14,English
131,bello123,"Greatest movie of the century! I thank Chris Hemsworth, Chris Evans and Robert Downy Junior for such great acting",2019-05-04,10,46,32,14,English
132,ccballer4,"This movie was tasked with connecting 21 prior MCU movies, and it succeeds. As one of the fans who has seen all of the other MCU films, I found this movie to be richly satisfying. The story picks up immediately after the jaw-dropping ending Infinity War, the snap, and really lets the audience see the emotional weight of the heroes and the surviving entire world. In my opinion, Endgame is the best film from Marvel so far, and I wonder if they'll ever be able to surpass it. This a phenomenal cap to the 22-movie Infinity Saga.",2019-05-06,10,46,32,14,English
133,GameStopGamer,Avengers endgame is a movie that I just expected it to be infinity war part 2. This film made me laugh made me cry and made me look back on the past 11 years of MCU movies. This is a film that  deserves all the praise it gets.,2019-05-16,10,46,32,14,English
134,RyanHerofTime,"Endgame is a unique movie. It ties up 22 movies all into one. It feels a lot like Return of the King. This is one of the best MCU yet. The Cast was Crazy. I could not believe how massive it is. One of the best cast!  A lot of Fan service and Easter eggs throughout the movie. The whole theater was in an uproar about the fan service!The plot is good, The one problem I have with the movie is how they handled the time travel stuff. It does not make a whole lot of sense. but you can forgive that for how awesome this movie is! The Third Act is where it is at! It truly is amazing!It made me Laugh and Cry. This is in the Top 5 MCU movies. This is a  MUST see movie. While it is in theaters. I have seen it twice, and I have had fun both times!",2019-04-29,9,59,41,18,English
135,JacobSudduth,"Fantastic movie. Anyone pretending that the movie is predictable is honestly an idiot. I do not know if I saw any theories online that matched what actually happened. While the movie did have its moments that will make you cringe, overall, this is the best movie in the Marvel Cinematic Universe.",2019-04-26,9,36,25,11,English
137,d0vla11,"Masterpiece? Not at all.But it's definitely a satisfying conclusion. The movie has flaws, but there so many good things about it, especially the last chapter, i got goosebumps like never before :)I definitely recommend it!",2019-04-27,8,36,25,11,English
138,Cliff23ha,"avengers endgame is a blast everything I ever wanted to see in a superhero movie. this movie is perfect, everything is on point I cried at least three times. masterpiece.",2019-04-27,10,36,25,11,English
139,pooyamovie,"an Infinity MovieThe Last Movie of Infinity Saga Better than what many expected.In This Movie Wee See Avengers And their efforts to deal with Thanos and Earn The Infinity Stones.in 3 hours Time of This Movie We see The Best Scenes In This 11 years.Story(fight With Thanos , Earn The Stones , Death Of Tony , Retirement Of Captain America , Death Of Natasha and Funny Scenes) , Act(Every Actors) , Special effects and Enemy Were Good In This MovieThis Movie Was an infinity Movie and I Love itThanks Russo Brothers For This Masterpiece10/10",2019-04-26,10,36,25,11,English
140,Robbe,"Avengers: Endgame is, and I'm not overselling this, a wonderfully crafted film that truly ends one of the best organised franchises ever. Sometimes a bit slow, sometimes a bit tóó much comic relief, and some weird decisions regarding character development, but somehow, it all works, like pieces finally fitting in a magnificent (not at all perfect, but magnificent) puzzle. The two first acts are steady and are greatly dedicated to the core characters, as the third act focuses on the ultimate fight, crafting one of the most epic shots I have ever seen in movie history, and by far my favorite shot from the entire MCU. Regarding the title, Endgame truly feels like an end, and as a rather perfect one for that matter (certainly if you're an MCU fan -- in which case you will experience what is probably the most satisfying ending of a film ever), wrapping up the entire Infinity Saga with some emotional but primarily satisfying and in a way beautiful (dare I say perfect) ending. The screenplay goes through a rough patch due to its complex story, but still manages to deliver a cohesive film. As acting performances are concerned, Downey and Evans again do whatever it takes to pull off the portryal of their legendary characters, but it is Jeremy Renner and Chris Hemsworth who are really performing like their lives depend on it. Ruffalo looks like he had the best time ever shooting this flick, while performances of Johansson and Brolin are steady as ever. As I previously stated, the ending is perfect. There is absolutely no way anyone can guess how the story goes, as Marvel is trying to be as inventive as they can. I am extremely satisfied with Avengers: Endgame, a culmination film that exceeds expectations (that were already pretty high) and that does everything it can to be as spectacular, jaw-dropping and bombastic as possible. Again, satisfying is the word. And epic. And complex. But mostly satisfying and epic.",2019-04-26,10,36,25,11,English
141,Ilovemyson7,"My 7 year old son and I couldnt wait to see this and were not disappointed. From the beginning we get to feel what the characters feel. There is a sense when initially seeing Thanos that he is perhaps somewhat weaker yet this could be the same for the Avengers too. The film unfolds with a downbeat atmosphere then builds and builds. It is filled with emotion, surprises, laughter (Thor especially!) and of course fight. The battle at the end is brilliant and the emergence of the portals letting in Black Panther et al...just wow! All characters have a weakness which is exposed with feeling by the Russo brothers. It makes our heroes gain a sense of the humanistic. They end the saga with integrity and a sense of warmth towards them. The end possibly sets it up for new heroes. If you stay til the end, the metal clanging could be reference to the rebuild of a new iron man? whatever happens next my son and I will be a part of it all. Bring on the next chapter",2019-04-27,10,36,25,11,English
142,FluffyTurtle,This movie is excellent in almost ever way you can think of. The movie fells like fan service to all the long time fans and still is great for the new group of kids. Love this movie with all my heart.,2019-04-27,10,36,25,11,English
143,AshwinYap,"One of the better marvel films. It was very emotional, and although the film lacks action, it is filled with great storytelling.",2019-04-27,10,36,25,11,English
144,Rebecca31,"A film that really needs no introduction, all us superhero fans have been waiting for this moment for so long and it’s finally here. I still remember seeing the first Iron Man movie in the cinema and I never would have thought it would bring us here. As always this is a spoiler free review but I do recommend avoiding all reviews until you’ve seen Avengers: Endgame for yourself. Honestly you should avoid all reviews and social media in general because not all of us are adhering to the #DontSpoilTheEndgame request by the Russo Brothers. So if you’re the type of person who would intentionally spoil a film like this for someone else you’re the type of person who deserves to be wiped out with a single snap of the fingers.Set immediately after the events of Avengers: Infinity War, the universe is trying to come to terms with the devastating effects after half of the universe have been wiped out. The remaining Avengers are determined to do whatever it takes to try and undo Thano’s actions. I wouldn’t be a huge fan of all the Marvel movies, Age of Ultron and Civil War for me had a lot of problems yet what saved them was the characters and what drives Endgame is the characters we’ve come to know and love over this long journey. I loved Endgame, my heart was racing, I was on the edge of my seat. All the previous films have led up to this moment and no time is wasted diving straight in. With a three hour running time it’s not the type of film you want to buy a giant bucket of coke for unless you’re prepared to leave the cinema to use the bathroom, because don’t let these so called online bathroom guides fool you, there is no part of Endgame worth missing. I can’t speak for everyone but those were the quickest three hours of my life. Despite that I did feel a certain few characters were not given the screen time they maybe deserved, though I understand it would be difficult to give everyone their moment with a cast this big, even with the lengthy running time it just isn’t possible. Though maybe we could have done with a little less of the Hulk eating lunch and a little more Okoye, whatever I’ll get over it.You’ll laugh, you’ll cry and you’ll cheer along with the film. There’s nothing better than being in a packed cinema screen with die-hard fans of the franchise. A spectacular cinematic achievement with a very satisfying ending. A real sense of closure, yes that means no post credits scene so feel free to make a mad dash for the bathroom if you’re not a blubbering mess by the end.It may go without saying but yes you really do have to have seen most of the other Avenger movies, if you haven’t you really won’t get much out of Endgame. Highly recommended but honestly I don’t need to recommend this one do I? You’ve already seen it, it’s made over 1 billion on it’s opening weekend and will continue to break all the records.",2019-04-29,8,49,34,15,English
145,BrunoM02,"This movie was just beautiful, ten years of movies and this one is the best, not a very emotional person when it comes to movies, I rarely cry, and I did, more than once actually. It was just amazing, everything, vfx, soundtrack, marvel, what a ride, everything I espected and more, it deserves everything it has everything. It deserves to be between the best, because it is one of the best. Just marvelous. It's perfect, just love it! Thank you Marvel, thank you to everyone who made this movie, cast, director´s, producer, just every single one of then.What a ride!!! Love it 3000",2019-04-30,10,49,34,15,English
146,dapenn,"Super quickly, this is my review.Act 1: Weird pacing, weird character intros (thor, hawkeye), Act 2: amazing fan service, great character bonding moments.Act 3: the greatest act of any marvel film!! The fight scene, the music, the VFX,, the ending, everything is perfect!Entire Movie: This movie is phenomenal is several ways and makes the last 11 years more memorable than they already are!",2019-04-28,10,49,34,15,English
148,Adeel,This is probably the best mcu movie ever. Also the last hour of the movie is the best action set piece I’ve seen in movie history,2019-04-29,10,49,34,15,English
149,jfallen1990,No Spoiler Review- I really enjoyed it. Now I have seen all the Marvel movies and I DO think that makes a difference and see that some people would be lost only having viewed a couple. The movie does have good pacing and acting is amazing. I do not like one change they did for one character. It felt off and missed the mark. Great movie. Had all the feelings happy and sad. See grown ass men fighting back tears. haha. Just know there are characters that only get around five minutes screen time. Kids will be inpatient with this one too. Solid movie! One of the Best. The End is EPIC,2019-04-28,9,49,34,15,English
150,mavir08,"The movie is too good, too dramatic, too emotional and TOO MUCH. This is an end for a long way of MCU. This is a film that makes MCU fans feel touched, especially for those who watch them from single movies until the Avengers team.",2019-04-29,10,49,34,15,English
151,begay32,"This movie deserves nothing but praise. From the perspective of a fan from the last 11 years, I consider this movie to be outstanding. I feel as though they nailed the epic comic book feel. The movie is filled with shots the resonate with you. The emotional pay off for a fan is what helps this movie for me. I give this movie a 10/10.",2019-04-29,10,49,34,15,English
152,michaelrmurat,"While very emotional, Avengers Endgame was one of the best marvel movies I've ever seen to date. Very good movie, perfect for the ending of phase 3, and the start of phase 4.It's An a+",2019-04-30,10,49,34,15,English
153,andreykelbek,"One of the best movie ever.Beautiful,Amazing,Great,and so phenomenal.One of the best movie ever.It put the exclamation point and fulfilled the missing pieces of Infinity Wars. With a mixture of comedy,love,action,and fantasy it will satisfy your money in buying a ticket.Overall a best movie to end the series.Despite the sad and tragic dead of Natasha Romanoff and Tony Stark they defeat the mighty evil Thanos. Indeed an amazing and beautiful movie.",2019-05-01,10,49,34,15,English
154,dannysal,"A heart-pounding, heartwarming, and heartbreaking film.  The cast is stellar and the writing is superb.  I wasn't expecting so many laughs...or the tears.  Cheers to the cast and crew, the Russo's, Marvel, Disney, and of course, Stan Lee, for giving us the gift of the MCU and inspiring us all to do more to make the world a better place; ""whatever it takes!""",2019-04-26,10,52,36,16,English
155,lcamoviereviews,"The time has come. The thrilling conclusion to the Infinity Stones saga and the Marvel Cinematic Universe as we know it. After the shocking cliffhanger in last year’s, “Infinity War”, the long year wait moved fast and slow all at the same time. Now that we are here, the questions began to flow in. Who lives? Who dies? What happens to the world? All of these questions and more are answered but not in the way you might think or in the most understandable way. The film opens up with Tony Stark (Robert Downey Jr.) free-floating in space on the Guardians spacecraft with Nebula (Karen Gillian) after the snap from Thanos (Josh Brolin) and losing Spider-Man (Tom Holland), Peter Quill (Chris Pratt), and Drax (Batista) on Thanos home planet, Titan. Some humor is added to the mix with both Tony and Nebula playing a game of paper football while waiting for life support to fail. This leads to a monologue with Tony recording a message to Pepper (Gywneth Paltrow) through his helmet. After that, it looks like he is close to death. But, a orange glow overtakes the ship and it’s Captain Marvel (Brie Larson)  to the rescue. From there, they are reunited with the team that remains. Fast forward a bit and now they find Thanos, thanks to Nebula. The stones have been destroyed and Thor beheads him. What do our heroes do? Five years later and still no results. The movie petals along for a good solid hour with our heroes trying to find different theories until they realize that time travel is the only option. The first hour of this film does tend to move a bit slower then you traditional Marvel film. We are treated to a very depressing and somber tone with giving each character their moment and what they have been doing over the last five years. The biggest moment by-far is given to Thor (Chris Hemsworth). Beer and time have not been kind to him. Yes that’s what I said, beer. I don’t want to give it away but his appearance generated some of the theater’s funniest laughs. I was glad in this sequence to see a few characters from “Thor: Ragnorak” make a return appearance and see that they are alright. I was really surprised how many laughs were in this film considering where the story is at this time. I think there may have been almost too much funny going on here at times but that may have been just because of the audience that was with me in the theater. Petaling along, we are treated to all of the avengers splitting off into different times to locate all of the stones before Thanos gets them. These were some great sequences and it was great to see some old familiar people from past Marvel films and callbacks to the first avengers film. Time travel is a key part for the whole last two hours of this film and while things to make sense at times, there are also many different plot holes I found too. Some time travel events don’t exactly match up with previous time rules we have seen in other films or what common sense would tell you in these situations. It leads to some convoluted and messy things that still are a bit bothersome especially when five years have passed and at the end of the film, Peter Parker goes back to high school and sees his friend,  Ned (Jacob Batalon). How did high school resume for them when five years have passed? I am hoping this is answered in the upcoming “Spider-Man: Far From Home”. The final battle of this film is quite the epic spectacle. Not as big as some of the reviews were hinting because I still believe in the big picture of things that the battles in the previous film were a bit better. Although the moment where all of the avengers assemble here is quite the goosebumps moment. The CGI is nearly flawless in the film with only some moments in the final battle looking a little too green screen. There are a couple of deaths in the film. One of them I was expecting and another not so much. I won’t tell you here but the one I was expecting gets a proper sendoff and it is a good farewell that feels right. I am also pleased that Captain America gets the ending that I always wanted. It’s exactly what I predicted and if you listen to mine and Jason Kobasic’s podcast on the previous film and our first part of the Marvel Cinematic Universe recap, you will know what I mean. This film bookends just about every thread from the previous 21 Marvel films. It couldn’t have been an easy task for the filmmakers to put that together and create something special. They did and everything comes together real nice in the final moments and I loved the final shot. It  put a smile on my face and felt very satisfied. I still like “Infinity War” a tad bit better then this one but this is still a great addition and an epic conclusion to these first three phases. Bravo Marvel and we will see you in Phase four and beyond. Grade: B+",2019-04-26,8,52,36,16,English
156,loveyou3000,I want to show my love by giving 3000 but Metacritic won't allow. Movie of the decade...probably century.Avengers will live forever.,2019-04-30,10,52,36,16,English
157,sonicman1292,"as a big fan of marvel in general incluiding MCU, avengers endgame is exactly what i expected for the end, this movie have everything to make you cry for emotions like hapiness and sadness, the fans-service are insane on this movie, when i saw captain america with the mjonir it was amazing, i really liked how tony stark and steve ends in this universe, of course it also bring a little bit of sadness to me, because is hard to see the 2 leading characters of the avengers leaving the universe, especially tony stark that was my favorite avenger, the guy who started and ending this cicle, but the MCU give him an honorable death just like i expected, before the end game, Stark sacrificed himself 3 times to save the earth, so this is his last sacrifice to keep the universe alive, even if my favorite avenger died for it, it was really an honorable death and about Steve, when i saw him dancing with peggy, my eyes turn into a river of tears, he pass his shield to falcon and it was amazing tho, i think that steve did everything for the universe, he helped alot of people aways fighting for the earth and at the end he gives a decent life to himself.",2019-05-02,10,52,36,16,English
158,KevinChau5,"Saw this tonight, Great film! You guys gotta see this!! This film had me at emotional, Part of the Journey is the End!",2019-04-27,10,39,27,12,English
159,Wavy_Yeezy,"The beginning dragged along but the end was really good especially the final battle against Thanos. Very emotional. I haven't seen too many Marvel movies, but this is the best I've seen so far. I can only see Marvel improving from here.",2019-05-04,10,39,27,12,English
160,BonniePlayz,"This movie has defined an era of MCU movies, it has brought funny moments, emotional moments and exciting moments as well! the fighting scenes were spectacular as well as the story, Bravo Marvel",2019-04-30,10,39,27,12,English
161,kaynisi,"Do yourself two favors before watching Avengers: Endgame.One: watch the other MCU films, or use the (not recommended) Lazy Man's Cheat Code and read the synopsis of each.Two: Do not expect the same level of character development world building from Endgame as past MCU films. (Character development is not the same as character arc completion).I was bothered when I walked out of Endgame last night without the feeling of catharsis that I expected. It did not feel as fresh and invigorating as movies before it—even its predecessor Infinity War breathed more new life into me. I went into expecting a cinematic masterpiece, and that is where I went wrong. Making the ""Greatest Movie of [variable time frame here]"" was never the Russo Brothers' intention. With 22 films preceding this one, there are plenty of moments of cinematic greatness, ESPECIALLY amongst the movies in Phase III. Endgame is not a masterpiece. But it IS a love letter to every fan who was grown with the characters, whether they've been along for the ride since '08 or found themselves binge watching each film in the weeks before its release. Don't expect a movie that ascends to new heights in filmmaking, and DEFINITELY don't watch this movie without being caught up on what happens before it. The Russo Brothers wanted to give fans one last exciting, action packed, heartbreaking, and comforting ""THANK YOU,"" and they achieved just that.",2019-04-27,8,26,18,8,English
162,mrushing02,"This is a tricky one to write when many people have still not seen the film, so no worries if you are reading this, there will be no spoilers. Look for the spoilers on The 602 Club podcast next Tuesday. If you listen to my podcasts or have read this blog, you know I am not afraid to be critical of Marvel movies when I feel it is warranted. Case in point, I felt like Infinity War was, “… a mixed bag that has the effect of one being served a gourmet burger and then only being given a minute to eat it. There is so much happening, yet there’s so little pay off, leaving the audience unfulfilled, wanting a better movie and resolution. We all know the conclusion is coming in 2019, so now that the compulsory is over, we wait and wait and wait.” It was frustrating to feel this way, specifically since I just didn’t feel much about the movie, other than ambivalence and this left me trepidatious for Endgame.So with that preamble, I know you are are all waiting eagerly for my thoughts on the end of the Infinity Stone Saga…. it is satisfying. That’s really what we want after this twenty-one film, eleven year investment, right? We want to be satisfied emotionally and thankfully Endgame is everything Infinity War was not in that department. The movie will capture you from start to finish. Personally I am happy with where my favorite characters are at the end and that is enough.With the three hour run time and the contrivances to overcome Thanos, there are some issues. The movie does feel a bit long, but it also plays out better than Infinity War. Where that movie left you feeling unable to focus because there were so many characters and not a moments rest, Endgame is able to take its time. This may be it’s greatest strength, that you don’t feel rushed, you’re allowed the opportunity to care about what’s happening because you’re not being whiplashed between stories every other minute. For my book, Endgame is the poignantly satisfying conclusion to this part of the Marvel saga I wanted. It is not the perfect movie but it’s the one we deserve. Endgame is rate 4 out of 5 Cap Shields.",2019-04-26,8,55,38,17,English
163,Bhuvanesh,Wow what a great idea  movie!!!!!,2019-05-16,10,42,29,13,English
164,ohgustavoiam,"That's such an amazing movie, with a deserved outcome! Came to fruition as a film that came to leave the legacy of the original Avengers - who have sacrificed themselves for the common good, in their own way. Gave me goosebumps to the beggining till the end. I love Marvel Studios and love so much this cast and these heroes for life!",2019-05-17,9,42,29,13,English
165,Akshada,"A worthy conclusion to all the preceeding movies in the Marvel Cinematic Universe. It seems like the end of an era, now that Iron man is no more and Captain has aged of time. Nothing can beat the fan moment you have when you see all of your favourite heroes united for the last time against Thanos and the tragic ending that comes with it. But I am sure Marvel has a bunch of surprises for us in the upcoming movies for sure. Keeping fingers crossed for more surprises and having the best time while concluding the Epic Journey of Avengers.",2019-05-18,10,42,29,13,English
166,abiisu,"I have only one way to describe this movie: Beautiful. I loved the way they wrapped up the stories of both Iron Man and Captain America, both endings fit the characters and masterfully finish their character arcs. The events of the movie are interesting and constantly keep you engaged. I loved the way they tied in pop references in humor and clearly used out dated trends as ironic jokes. The soundtrack as always was incredible and really amplified the overall experience of the movie. Overall i'm not ashamed to give it a 9/10.",2019-05-18,9,42,29,13,English
168,Phoenixouou,"The one of the best Marvel movies so far. Storyline was excellent, and filled with excitement.",2019-05-18,10,42,29,13,English
169,Kamalnath,"No words to review....Greatest movie in this century....,....................................",2019-05-19,10,42,29,13,English
170,GarethB,"I have probably rated this higher than I would have out of the weight of the stories that came before it and seeing the culmination of events, it seems like matters really have weight to them despite things being undone. A more serious movie that suits my taste better with a tone and drama to it not present so much before in the likes of Ragnarok and co. I have serious problems with the time travel nonsense of what and who can do what and I was majorly let down by the portrayal of Thor at seemingly the need to have Captain Mundane fill his role at the end and the treatment of Black Widow (despite Scarletts great acting I feel her character has been dealt with shabbily)",2019-04-26,7,29,20,9,English
171,Iron_Huntsman,"A true masterpiece in film making. Marvel has outdone itself and given what is one of its best films. A true fitting end to 10 years of MCU. If Marvel was worried about the legacy it was leaving behind, then it doesn't have to anymore. The three hour run time didn't feel long at all and each character was given their due. A true sendoff to the original 6 and its safe to say the future of the MCU is in very capable hands.",2019-04-26,10,29,20,9,English
172,intruder313,"Very good overall though a little too long, the 'Time Heist' was a bit silly and some characters got too much screen time at the expense of others e.g. the awful Nebula is critical to the plot while we don't really get The Hulk.",2019-04-28,8,45,31,14,English
173,adam99x,"This is as good as popcorn films can get.  BIG BUDGET, big stars, big stakes...all that good stuff.  Is it the best movie ever made?  No...but it is one hell of a ride that we can all watch over and over and over again.",2019-05-06,9,45,31,14,English
174,Impirus,"I was a dc fan way over marvel, i actually didn't like their movies, but the last couple of years it turned around,this is the 2nd maybe best movie i have seen in the theater",2019-05-10,9,45,31,14,English
175,ILoveBF1,All I can say **** OFF ACTION JUNKIES. Not every action movie needs to be flooded with action. I liked the exposition they made. The planning and everything are great. Build up was great. The emotional scenes hit. The return/entrance of the heroes is one of the best cinematic moments ever. wish Captain Marvel did more though but well I would take it than her soloing Thanos. Character arcs (especially Captain America) were ended pretty well.10/10 Great Movie.,2019-05-01,10,45,31,14,English
176,franciscoortiz,"Just a good time!  Great finale to the Infinity Saga.  It helps if you have seen all of the movies in the current MCU to really ""get it!"" If you don't like superhero movies then ""get off our lawn!",2019-04-29,9,45,31,14,English
177,Captain105,"Whoa, just wow, what a movie. In 3 hours of plot, character, incredible action, mind blowing CGI and real emotional scenes, Avengers: Endgame does not cease to stride above the rest of the MCU. A film that brings viewers back in time and allows the viewers to think about how much the MCU has given us. Very contemplative storytelling is blended with great humour and mythic battle sequences to create Endgame! After (I think) Infinity War failed at managing film with lots of characters, Endgame does not.The characters each are represented with a realistic perspective. Their weaknesses are shown to the viewers. And finally the stars are allowed to act. Hollywood’s most famous actors step it up in Endgame and deliver heartfelt emotional scenes and moments without anything tying them down. The best part for me was how Endgame felt like reading a comic book, the action, the plot, the characters. Even some sequences felt like they were drawn by Stan Lee. But as with any film Endgame has problems but minor problems. First, Thanos could have been defeated much quicker. Some characters were glazed over and forgotten about. Finally, the Avengers could have made better choices. There were ways, easy ways, they could have accomplished their tasks. Some of the things they did were stupid. All of these are minor problems. Avengers: Endgame is by far my favourite Avengers film.",2019-05-05,9,45,31,14,English
178,The_Man_XX,"Usually the phrase came full circle is used way to often without meaning but in the sense of Avengers: Endgame Marvel did just that, wrapping up 10 years of storytelling and movies all really well.What I really enjoyed about this movie is that it really took its time with the plot, Sometimes it took too long to get going especially with a 3 hour run time but it was never boring and you just kept getting intrigued with the story elements. When the movie starts it’s right off Infinity War and did really well to establish the consequences of the last movie and to let the characters experience the fallout of Infinity War.As I said the movie really took its time with it plot sometimes it just felt a little too dragged on as it left the directors wanted to over-establish some plot points instead of just keeping it simple but I wouldn’t say it’s a major issue it’s just that in a 3 hour runtime you don’t need to over complicate the plot. However though the story was really fantastic, if I haven’t said it before the Russo Brothers are geniuses they managed to wrap up 10 years worth of storytelling in one movie brilliantly from the First IronMan movie till now.Speaking of characters, obliviously there were a lot characters like Infinity War but Endgame was really about the conclusion of the original six Avengers from IronMan, Black Widow, Captain America, Hulk, Hawkeye and Thor. Each one had an arc and came to satisfying conclusions by the end of the movie. The really surprising performance came from Jeremy Renner as Hawkeye or Ronin who we didn’t see on Infinity War and had a really nice story that involved him and his family and the events of Infinity War and how it impacted him. Robert Downey Jr gave the best performance as usual .In all honesty no one gave a bad performance in this movie they all did really well so that’s another plus.Thanos played by Josh Brolin who had a very big role in Infinity War and was a fantastic villain and was one of the best if not the best thing about Infinity War played a small role in Endgame, I mean he was still Thanos he was badass, menacing and obviously had some memorable lines. He wasn’t in the movie all that much except for in the beginning and largely shows up at the end of the movie for the final showdown and that was kinda disappointing, but with the story the Russos went for you could understand why he wasn’t in it that much but still it was kind of disappointing. Thanos was still a great villain in Endgame all that being said and you could fell The after effects he imposed after Infinity War. Without saying too much Thor and Hulk were the twist characters in this movie I mean they did some surprising stuff with them at first I was like Marvel what did you do but in the case of Hulk it turned out all right but Thor...lets just say I didn’t like what they did to him or his arc(if that’s what you wanna call it) was disappointing.The humor was good for the most part of course this is a Marvel movie so forced humor played a factor(sorry if you keep seeing this in all my Marvel review but it is what it is) especially in the case of Thor I mean Endgame didn’t ruin the character of Thor but it’s like they were trying to ruin him if that makes sense. There wasn’t really a lot of action in the first and second half of the movie maybe one action scene in the second act to keep things fast paced, in fact there were like 2 or 3 action scenes in the whole movie(I’ll talk about the final battle just hold on). I mean that was really surprising that a superhero movie managed to keep me intrigued for that much with so little action so again hats off to the Russo’s for a compelling and interesting story. Now let’s talk about the final battle, yes it was Epic I usually don’t describe anything as Epic but the final battle of Endgame was truly a spectacle and I’m glad I got to see it. It was filled with tense moments, awesome comic book action, drama and truly some wonderful surprises, it had it all that I think the final battle was the best action set piece in all of Superhero movie history just truly phenomenal action.The tone of this movie was lighter than I expected after the events of Infinity War I mean it’s not a bad thing, when the movie got dark and serious you felt it. Endgame was part adventure so I guess you’d expect some lighter tones in some aspect. The third act was really the best part of the whole movie and I mean the whole last act, there were some nail biting moments, epic action and wonderful storytelling and heart breaking scenes.So Avengers: Endgame was a really great movie, had awesome characters, an intriguing story, it was fun, had funny humor, fantastic action, really heartbreaking moments and a satisfying conclusion.Sure there were a few things a didn’t like for instance some baffling character decisions or some dragged on scenes but for the most part all I have to say in a nutshell I Thank You Marvel.",2019-05-11,8,45,31,14,English
179,Player2-Water,"E-Value: 9Acting: 9Plot: 9The final chapter of the Infinity Saga story arc which started from 2008’s Iron Man is finally coming to an end with the twenty-second instalment in Marvel Cinematic Universe which the six original members of the Avengers are assembling together for one final mission to save the world.Three weeks after the events of Avengers: Infinity War, the Avengers along with Carol Danvers/Captain Marvel, Nebula and Rocket Raccoon have failed to bring back half of the universe’s population because Thanos (Brolin) has destroyed the Infinity Stones to prevent any further use.Five years later, Scott Lang/Ant-Man escapes the Quantum Realm but he is unaware of what has happened while he was stuck in there. After learning everything that has happened in his absence, he meets Steve Rogers/Captain America (Evans) and Natasha Romanoff/Black Widow in the Avengers Compound. They learn from Scott that time flows differently in Quantum Realm because he only stuck in there for few hours.Believing that the Quantum Realm is the key to restore everything back to normal, they recruit the other members along with Nebula and Rocket Raccoon while Captain Marvel is elsewhere protecting the galaxies. Tony Stark/Iron Man (Downey Jr.) initially refuses to join but he soon changes his mind. Together, they go on a time travelling mission and will do whatever it takes to retrieve the past version of the Infinity Stones without causing time paradox. The fate of the world is now counting on the Avengers.Having watched all the past instalments in this franchise, I got to say that this is definitely the best and most emotional movie in the history of superhero movies. If you think Avengers: Infinity War is the most emotional movie, wait till you watch this one. You will definitely cry and be sure to bring some tissues to wipe your tears. If you have been keeping up with the franchise since day one, you will feel it since by now, you would have invested so much in the characters. Although I never cried, I felt very sad but yet I am very happy to be part of it.The plot of the movie is satisfying, solid, good and a very epic conclusion to the franchise current story arc. Every members of the cast gave their best performance especially Robert Downey Jr. and Chris Evans. It was a truly magnificent performance from everyone since this is the final chapter and some of the cast are leaving after this movie which is quite sad too. The fighting scenes are very well done and the final battle is very epic and awesome just like in The Lord of the Rings series. Despite the movie’s runtime is 3 hours 2 minutes, you will get the feeling that the movie is around 2 hours 30 minutes because the pacing is very good and lots of scenes are not very boring or move too slow.Diehard fans of the franchise must definitely watch this movie. Do whatever it takes to watch it and you cannot afford to miss this one otherwise I can guarantee you will regret it later. Having mentioned the movie runtime earlier, I would advise you not to drink too much water while watching. You do not want to end up going to the bathroom right in the middle of the movie. You simply cannot miss any scenes at all cost.Although the movie is the final chapter of The Infinity Saga, it is not the final movie of Phase 3. That honour goes to the upcoming movie, Spider-Man: Far From Home, which serves as the final movie of the current phase. For the first time since 2008’s The Incredible Hulk, there are no post credits scenes at all. Not even mid credits scenes. Once the credits starts rolling, feel free to leave the cinema and go to the bathroom after sitting for a long hour of watching the movie.",2019-04-30,9,45,31,14,English
180,ThePeoplesVoice,"A great ending for the above average Marvel movie fan. This movie isn't that good as a standalone, but if you have seen all the other movies it's really awesome. They took a pretty surprising turn storywise and it workout really good. I have to be honest and maybe/probably some things are a bit off in this movie. But when you see it for the first time you will be overwhelmed with everything that's going on. A true masterpiece and a great ending for this time. Totally worth watching if you have seen the other movies.",2019-05-03,9,45,31,14,English
182,enei200,"Emotional, epic, exciting. Endgame has everything that a good movie needs. But, little lacks on the plot, cause It was a little obvious. Must-see.",2019-05-05,9,45,31,14,English
183,sys01,This movie does have a legendary status attached to it. Perfect way to end the Infinity saga.,2019-04-26,10,45,31,14,English
184,sksoegaard,This movie is great it ends all the story lines of the different characters. It packs an emotional punch and i cried my eyes out in the theater. This movies is a great ending to a big franchise.,2019-05-01,8,45,31,14,English
