,user,review,date,user_score,review_votes,review_upvotes,review_downvotes,language
73,maugzz,Adequate for the wanted level of the last 10 years and very respectful of the comics.,2018-04-27,8,8,8,0,English
74,mhlucero,Not a standard superhero movie. A journey of 10 years long that leads to Thanos.The ultimate villain. Period. Nobody is prepared. Not even you.,2018-04-27,9,8,8,0,English
75,TenzelJeffery,"Avengers: Infinity Wars, is an epic saga from the Marvel Cinematic Universe, as the Avengers rebel against the existential threat that is the overwhelming might of the supreme ThanosThe heroes of the narrative (Downey, Pratt, Johansson and the rest of the gang) are in excellent fighting form (as per usual) and bring undertones of organic humour (particularly Ruffalo and Holland) to balance the impending doom.  Brolin’s, Thanos is an infallible, and unmatched talent among previous Marvel Cinematic Universe villains. The leading antagonist (Brolin) could potentially challenge Heath Ledger’s maniacal depiction of the Joker. This is not because Thanos is a megalomaniac and indomitable being, but his excellency lies rational.  He is deft and absolute in both words and actions. He displays something inexplicably and hauntingly human about him. Thus, making him a fully realized anti-hero.Alan Silvestri’s beautiful layered soundtrack heightens the emotional intensity of the Avengers greatest threat to date. His ability to capture the constantly changing tone and as the inextricably linked narrative jumps from place to place is deserving of praise. The Russo’s Infinity Wars (Part 1) is sure to become a pop culture reference of the future, as they have managed to achieve with the Thanos and the Avengers what Bryan Singer failed to do with Apocalypse (a character of banal platitude) and the X-Men. But we are left with our appetites unsated, and waiting with both repressed clamour and bated breath for the conclusion of the enthralling and dynamic journey in 2019.-RJ",2018-04-28,9,8,8,0,English
76,SlayerDOomer,"Every part of this movie felt amazing, I never felt bored with this movie. At the end is the most heartbreaking moments since Hans death, Groots final words.... He said dad. That shattered my heart, and Spideys death was a very emotianal part of the movie for me. I cried in the theatre but I will see it a second time. 2 hours and 40 minutes. Most of that is action, action action action. Thats a great move in my book. I thought is was gonna be like your normal Marvel movie. But this movie, it exceeds my hype. Im proud to give this a 10",2018-05-12,10,8,8,0,English
79,vgmkyle,"This is definitely my favorite Avengers film yet. I waited a long time to see it, and despite some filler; it sets up all of the Thanos scenes to be quite glorious! Can not wait to see this on 4K Blu-Ray.",2018-05-27,10,7,7,0,English
80,Tyger44,"Avengers: Infinity War. I don't even know what to say. After 10 years of anticipation, Infinity War has finally arrived, and boy does it deliver. Awesome action, mind-blowing visuals, and some of the best character moments I have ever seen in a superhero movie, both for the heroes and the villain. Thanos is by far the best MCU villain so far, and a villain on a similar level as Darth Vader and Heath Ledger's Joker.In addition, this movie has one of the best cliffhangers in film history. By the time the credits rolled, I was in absolute shock and I was at a loss for words. I couldn't even process what I had seen. Never before have I seen a theater stand up and give a standing ovation for a film.I don't want to spoil anything. Just go see this movie. You will love it. I will go so far as to say that this film is the modern day Empire Strikes Back.Thank you, Marvel. Thank you, Kevin Feige. And Thank you to the entire cast and crew of Infinity War.",2018-05-25,10,7,7,0,English
81,Mehektet,"Would someone tell the ""Marthas"" over at DC this is how you make a superhero movie and this is how you respect both the source material and the characters!  I have nothing more to say other than this was what I had hoped for and they delivered!",2018-04-27,10,7,7,0,English
82,MasterRiley,"Avengers: Infinity War was almost an impossible task, and while not perfect, definitely lives up to the hype. The main issues with the movie just come from the fact that there are so many characters. The pacing is inconsistent at times, not always giving each character enough screen time or enough to do. The tone can shift as well, between dark moments where the audience is meant to feel emotional, to abruptly ending the emotional moment with a gag. But for the most part, all the main characters are given good roles in the movie and characters play nicely off each other. The acting from everyone is top notch and the action scenes are some of the best in the MCU. One of the best things about the movie is Thanos, and the overwhelming danger he puts over our heroes. Villains in the MCU don't always feel like they actually are a threat, but Thanos definitely is. Not only is he a menacing villain, but he is also a well written villain with clear motivations for why he wants the infinity stones. Overall the movie is great, definitely one of the best in the MCU.",2018-05-08,9,7,7,0,English
84,Kire_92,This is probably my favorite marvel movie thus far. The action was good and the movie had a good mix of humor and emotion. And finally a marvel movie have a really good villain! The only negatives are that the movie felt a little bit too predictable and some parts in the middle made me lose my interest at times.,2018-05-18,8,7,7,0,English
85,MICKticken,"This movie is the my favorite MCU movie. This movie will subvert low expectations and triumph. The highlight is Thanos, he actually gets more screen time than anyone else, Which only helps the movie. All throughout the movie you are worried for your favorite character(s) due to Thanos providing real stakes beyond destruction. it is hard to describe how good the movie is without spoilers but that doesn't mean don't watch it. this movie demands your attention. Just go see it",2018-04-30,9,7,7,0,English
86,Bostjan,"As always the movie brings all kind of emotions on the surface. I like that they added some comedy scenes to spice it up (and they succeeded) and although you're constantly in a tense position on your seat, waiting for something to go desperately wrong, there are twists and turns that carefully draw the score this movie deserves. And the post-credit scene is an absolute braincrasher, so watch it whole (as you perhaps already know by now if you are a Marvel fan).",2018-05-08,9,7,7,0,English
87,BuckyWhiteWolf,"Avengers: Infinity War is the ultimate cinematic event. It brings together nearly all of the MCU's heroes to tie in stories told in the past decade. But it doesn't just rely on your love for this shared world. Instead, it rises above its predecessors by delivering a compelling villain and protagonist, Thanos, countless twists and turns, outstanding action and CGI work and an ending that will be discussed long after one's last viewing.",2018-08-27,10,7,7,0,English
88,TimW001,It's a great film. Thanos is not a snarling psychopath or a smirking murderer. Thanos believes in his cause and he doesn't waste time with monologues. While it has an Avengers name this movie is definitely a Thanos film. You have all character development reolving around Thanos. Thor has also grown into an actual character now.The direction and special effects were on point. The climax had the usual Marvel flare where it uses quick cuts so you can never fully tell what's happening during a fight. But overall a great film to add to this series.,2018-05-07,9,6,6,0,English
89,Dabronxx,"On a scale so much larger than any marvel movie to date. Has every bit of the usual action and humor and more + a level of intensity and emotion unlike any Marvel movie to date. Only complaint is that the content in this movie alone should have been stretched out into two movies, like the seventh Harry Potter book.",2018-05-11,9,6,6,0,English
90,masterchief247,"This is an excellent movie.  Right up there with Batman Dark Knight as top favorites of mine.  This movie has great action, and actually a story worth caring about.  Saw it twice.  A must see.",2018-06-04,10,6,6,0,English
91,KasaiWolf,"I wasn't sure what to expect going into Infinity War. But I was seriously overwhelmed by what we got. The movie is easily the best of the MCU and defos one of the best movies of all time. The characters were brilliant, the fights were amazing and the story was driven home, especially for the third act. I was afraid all the characters would clash and be all over the place but it worked out amazingly. Characters like Iron Man who was amoung the first to feel the threat Thanos placed, Banner who along with being Thanos' first victim also had trouble with the Hulk that's explored reasonably well in the movie. Even the more smaller characters have time to shine, like Spider-Man who had some good banter with Doctor Strange, Nebula who is given more indepth about her relationship with Thanos and Gamora. Of course the deaths are where the movie truly shines, the first being Heimdall, and then Loki. When your movie has the nerve to kill off one of the most popular characters then you know your villian and the movie mean business. Gamora was another heart jerker as we knew what Thanos was about to do while Gamora herself remains oblivious. Then the big wipe out at the end, heartbreaking especially with Spider-Man and Groot (Dad). Overall Infinity War is one of the best movies I've seen and I cannot wait to see how they top it after Infinity War's sequel.",2018-05-29,10,6,6,0,English
92,tomchee,"By killing characters, having their next movies announced, they made those all deaths meaning less, but still one of the best avengers movies sofar :)",2018-04-29,9,6,6,0,English
93,chesaro,"It is by all means an improvement to almost all the disney-marvel movies, but the disney hand is really obvious through all the movie, i hope they stop doing using so much that basic humor that makes it feel like an animated disney movie",2018-05-12,7,6,6,0,English
94,superfields,Only the Russo bros can assemble this gargantuan task into a entertaining slice of Marvel ecstasy! Hurray you did it and avoided the countless mistakes of films like Matrix who shoot two films at once and failed miserably. They opted to do them separately and it shows. The film sparkles with actions sequences that captivate the mind and senses and leaves us wanting more with a horrific haunting ending to this chapter.,2018-05-16,10,6,6,0,English
95,Digibutter64,"The best superhero film I have seen in a while, maybe ever.I came in with high expectations, and they were certainly met. The visuals are amazing, Brolin excels as the greatly developed Thanos, and it doesn't seem like any of the massive superhero cast is sidelined much.Some will be put off by the cliffhanger ending, but this is worth seeing multiple times. An imperfect, but explosive masterpiece of a film.",2018-05-15,9,6,6,0,English
96,jammerjams,Such a fun and emotional film. I've seen it twice now and I'm already ready for a third. Nobody does it like Marvel.,2018-05-09,9,6,6,0,English
97,The_Man_XX,"Avengers: infinity War has been 10 years in the making from easter eggs,references and hints to this very movie throughout all of the MCU and it was all worth it.The Story was well written and thorough,the cast put on good performances,the action scenes were epic,the tone of the movie was one point and it was just an awesome experience.From the beginning of the it starts of with an intense tone,action packed and yet that contained that Marvel humor and this happens consistently throughtout the film almost near to perfection, thanks to The Russo Brothers directing this continuing their success from Captain America:Winter Soldier and Civil war.The first act was amazing as the movie introduced it's characters swiftly and didn't feel rushed at all with some clever writing and stellar action and gorgeous visual effects.Characters like Ironman.Doctor Strange,Spiderman and Thanos are great from the get go.You really felt there was a genuine danger unlike other Marvel films.The second act continued with this momentum as you are introduced to more characters like the Guardians,Captain America and more and the movie expands on the villain's plan and motivation as Thanos was a great villain,the best marvel villain if not then at least Top 3 although his goal was to destroy half the universe which is generic,but the movie clearly explains why he wants to do so and his clear motivations,as Thanos is also intimidating and also rather emotional helped by Josh Brolin's terrific performance as Thanos so is the rest of the cast who do a good job potraying their characters,the best performances coming from Zoe Saldana,Robert Downey Jr,Josh Brolin and Elizabeth Olsen.However since this was a very long movie the pacing was a bit slow and dragged a bit during the second act,but thankfully not too much and i have to say some of the characters from previous movies didn't get as much screen time as others like Captain America or Black Panther which is kind of disappointing their play a minor role in this big superhero film but but that's understandable as there were so many characters in this movie and The Russo Brothers did a fantastic job of balancing each one right even if it mean't some key characters didn't receive a lot of screen time.Also i have to say some minor thing bugged me a little without spoiling to much this arc involving the Hulk and Doctor Strange which doesn't get full explanations only because it's convenient to the plot and some of the humor from the Guardians of the Galaxy characters was a bit much because of James Gunn not being majorly involved with the movie but again this doesn't ruin the movie,just some minor issues,.Now to my favorite part of the film,the last act which was completely bonkers,the actions scenes were wonderful and looked like they came out straight from a comic book,the visuals were dazzling and story accumulated satisfyingly and there was a sense of unpredictability from the movie as the movie was dark,intense yet fun at the same time and the story was left completely wide open for Avengers 4 as it ended with a twist.In the end i think that this is indeed one of the best comic book movies ever made for sure,the best movie of 2018 so far.It had nearly everything heartbreak,a compelling story,some unpredictability,incredible action,fun humor and more and all i have to say if the wait for this movie was totally worth it.",2018-05-08,9,6,6,0,English
98,Dubeau,"Infinity War is a frantic action movie. This movie is more about Thanos, his motivation, his goals, his vision. For once, we have a real villain in a hero movie, not a doppelganger or a copycat. And the heroes...they just struggle against him, against themselves. The story is a tour de force. To reunite all these characters in a movie and still makes a semi coherent story is not a small feat. The FX are very good but the fighting scenes are sometimes a blur of too many objects and fast pace. Some critics didn't like the ending part...I though it was the best part.  It's not your everybody is fine ending. And you get at least two big clues for a part 2. The music was something that I didn't like that much. I guess it was a very difficult movie to score anyway. I give the movie a 82%. I think of the 3 Avengers, this one is the best.",2018-04-28,8,6,6,0,English
99,Nbecarri,"After many ups and downs from the Marvel movies, Infinity War is probably the one that will be remembered as one of their best. The filmmakers realized that the villain is just as important as the hero in a story. As a result, we got Thanos. One of the best Marvel villains. I will not spoil anything in the movie. You have to see it for yourself to see what I mean.",2018-05-13,9,6,6,0,English
102,MaxJadue,"It is truly unbelievable that ""Avengers: Infinity War"" isn't a complete disaster with its massive scope and various characters. This is mostly due to the brilliance of the film's surprising writing and solid directing. Although not perfect, the film pulls off an almost incredible task, but most of the film's brilliance comes from it's beautifully handled characters, especially its villain.",2018-05-09,9,6,6,0,English
103,StayClassy-CP,"I couldnt decide if this movie was a 6 or 7 in my mind. i went with a 7 because i feel like once im a little further removed from my first viewing ill think a little higher of it. first off this movie was crazy entertaining. i loved all the scenes with thanos in them, and i heavily enjoyed 99% of this movie. but god damn that 1%. without a doubt the worst moment/writing in the entire marvel cinematic universe. you know what im talking about if youve seen this movie. when thanos had all but been beaten on titan. while mantis subdued him, the gauntlet was no more than a few moments from being taken from him. then starlord turned into an emotional little **** and shot at him for killing gamora, freeing him from mantises powers. SERIOUSLY?! you mean to tell me the character peter quill is so infinitely dumb that he cant see that thanos is seconds away from losing what is the ultimate power in the universe? and in his uncontrollable rage *sarcasm* cant help himself but to shoot at thanos? this is such a horrible horrible writing flaw that is so easily remedied. if someone is truly so angry with somebody else would there first move in their anger be to help that persons immediate problem? no. a believable response wouldve been to help remove the gauntlet so that they could fight and defeat him, or literally ANYTHING else. it was also a missed opportunity to add to thanos as a villian. he couldve broken free from their hold and beaten the heroes despite them giving absolutely all that they had, making the task of stopping him seem even more hopeless. mantis even tells the others to hurry because she couldnt hold thanos for long because he is so powerful. but no, they decided to crap on what was previously one of the best characters in marvel. its such a dumb moment and its really hard for me to look past which is a shame because the movie had many great scenes.",2018-04-28,7,6,6,0,English
104,ungoverned187,"Marvel definitely has now solved their villain problem, i expected to be disappointed, but this movie delivers on most fronts. Marvel has managed to surround this movie with secrecy and there are multiple reasons why this was a great idea.",2018-05-02,9,6,6,0,English
105,robbo2110,"Great film and passes the time so fast without you knowing which to me is a sign of a good film. fast free flowing, highly recommend",2018-05-15,9,6,6,0,English
106,Hallvard,"Just watched this movie today. I didn't watch any trailers before the movie, so i had no expectations (even though the internet managed to spoil some bits for me). It might be my inner fanboy speaking, but it really delivered. MARVELous!",2018-05-11,9,6,6,0,English
107,NerdOverload_,"Thanos is the best villain we've seen in the Marvel cinematic universe so far. Great visuals, Really funny, exciting action sequences and really enjoyable overall. Only complaint is that it could feel a little clunky will all the characters.",2018-05-16,9,6,6,0,English
110,Humboldt1337,This is the best of the Avengers movies.  Absolutely perfect execution and script.  #TeamThanos,2018-08-25,10,5,5,0,English
111,drlowdon,"After years of build Thanos finally arrives on Earth with the intention of claiming the six infinity stones and wiping out half the life in the galaxy.Bringing together such a huge cast of characters from the MCU was never going to be an easy task but the Russo Brothers have done a brilliant job of ensuring that virtually everyone (aside from Hawkeye and Antman who are MIA) gets sufficient screen time. Seeing the Guardians of the Galaxy crew meet up with Thor or Iron Man and Doctor Strange fighting side by side is a dream for fans of the comics, or even just those that enjoyed these movies over the past decade. Thanos himself, a focus of a large part of this movie, is equally excellent and right from the outset comes across as a real threat to the heroes.As with all these Marvel movies I'm sure plot holes could be found if you care to look but all in all Infinity War is an entertaining, and often very funny, movie with a real gut punch of an ending (which will admittedly in all likelihood be largely undone) and its going to be a long wait to see part 2!",2018-05-10,8,5,5,0,English
112,EludiumQ36,"Probably the only film of 2018 if not ever that's revenued over $2B worldwide, so there's no denying its popularity and repeat viewing. I, myself, thought it was a mess of tangled characters and half-a$$ed jokes, I mean, I just saw Deadpool 2 and there's a commitment to humor and pop-culture refs! I love how Thanos came across as a sympathetic figure. Finally, a superhero movie where the ""good guys"", even when all gang up on one figure, don't prevail. That's a bit of realism that's refreshing. I could nit pick here and there but overall I'm impressed with and have great respect for a production of this scale. Has there ever been a film with so many A-listers all vying for screen time?! And to add first-rate CGI also? The entire production staff - over 15000 according to end credits - really worked for their money on this one. BTW, the obtuse ending wasn't appreciated, why would they do that? I understand cliffhangers and loose ends but this particular ending just didn't square up with what preceded it.",2018-08-12,7,5,5,0,English
113,chidime,"Amazing movie. Had a couple kinda cringey parts, but nothing to distract from the awesomeness of the movie. The ending was something, and my score is higher because of it. One can only hope all Marvel movies can be this good (and with less 'humor'). 9/10",2018-08-01,9,5,5,0,English
114,silversaihan,"Despite the critic average reviews, this is the result of a mainly consistant hits from Marvel. The moviehas a great pace, lots of epic moments without being too bombastic and Thanos is possibly one of the best villians to ever be put to film. A must see on big screen.",2018-05-10,8,5,5,0,English
115,KeithDow,"'Avengers: Infinity War' smashed the box office record for biggest opening weekend taking in $258 million on its way to sprinting past a billion dollars in worldwide receipts, becoming the fastest movie ever to do so.The writing, visual effects, and a truly overwhelming amount of star power all make this film worthy of holding the title of reigning box office king.  But my predominant thought leaving the theater was wondering who the hell could possibly follow the film's dizzying two-and-a-half hour story arc ... much less all the individual Marvel story arcs that preceded it, considering 'Infinity War' is the culmination of 18 different superhero movies. I recognized most of the actors (and most of their characters).  But when you have three or four (?) different groups of heroes fighting three or four (?) different groups of baddies on three or four (?) different planets the film quickly turns into an all-you-can-eat buffet of action that, while still very appetizing, is quite a different experience than that of a neatly composed--and somewhat moderately portioned--meal.",2018-05-11,8,5,5,0,English
116,ericrosar,"I'm not a Superhero movie fan. This movie was really great for what it is. It actually almost crosses over to being good regardless of genre. There are various elements that make this great; most notably a compelling antagonist who really is the focus and main character of the movie. Granted, there are some scenes that remind you that this is a ""blockbuster movie"", however it's not mindless action like any Transformers, neither is it structurally and visibly absurd like Justice League. Unlike The Last Jedi, it keeps true to all the characters while also giving them the humanity they needed to connect to the audience (Thor). It also excels at subverting expectation (vs.The Last Jedi) mainly due to the fact that you feel the script isn't going out if it's way to ""Trash the Past"" to prop up the newer characters. It did something that few new movies do, which is get me interested in seeing it's continuation.",2018-06-20,8,5,5,0,English
117,JLuis_001,"Frankly there is no need to analyze this movie. It's not the end of the road because there is still an entrie for 2019 but it is undoubtedly the culmination of 10 years of story development and the creation of a true cinematographic universe that shares characters, worlds and events. Avengers: Infinity War had to be a huge event. A show to expose all the Marvel machinery and they did it.Finally, it truly feels like if a comic book passed the pages and became a film. The villain responded to expectations and the action was as epic as expected. There's issues with the pacing but you have to give them credit, with so many characters and events, they really pulled it off.Avengers: Infinity War was meant to be what it is and I think that's a good thing.",2018-05-12,8,5,5,0,English
118,GBG_Jason,"The Marvel Cinematic Universe recently hit the ten year milestone and for those that have not followed the popular franchise, Avengers: Infinity War marks the first time that a number of the popular characters have appeared on screen together to battle the lingering threat of Thanos. This alone makes the film worth seeing, as almost every single major character makes an appearance.The story loosely follows the Infinity War comic series, tailoring the story to fit the MCU (as well as creatively replacing characters that Disney did not have the film rights too) and focuses on Thanos’ obsession with the Infinity Stones. The mad titan has Hitler-ish aspirations to “save” the galaxy, which involves wiping out half of it to save the remainder and is currently in possession of two of the six stones, with the remainder spread among the various realms of the MCU. While this may sound familiar if you’ve seen any of the other films in the series, what really makes this story special is the teaming up of various characters that have not appeared in the same movie previously which really adds a fun dynamic to the film. This is a bit of a double edged sword, as it makes the film a bit hard to follow at times with so much going on.With such a huge cast, it is to be expected that some characters have more screen time than others, but I was pleasantly surprised to see some of the newer or less popular characters (Dr. Strange, Bruce Banner, Mantis, and Drax) receive more screen time. While series mainstays Captain American, Black Widow, and Falcon appear multiple times throughout, they are sidelined for much of the film, with only a few lines each. I can honestly say that Captain America’s awkward introduction with Groot is one of the funniest lines in the film. The weak link throughout is Chris Pratt’s Star-Lord, who makes a number of questionable, selfish decisions that arguably go against his scoundrel with a heart of gold character the previous films built upon.Up until this point, I hated Tom Holland as Spider-Man. Hated isn’t even a strong enough word to describe my feelings towards him, as I was a huge fan of Andrew Garfield’s portrayal of the character and felt a bit betrayed as a fan when Sony cut his trilogy short in favor of rebooting the franchise with the new actor. On this outing, Spider-Man really steals the show, with his Iron Spider suit that was only teased at the end of Spider-Man: Homecoming joining the mix. Holland’s third time as the wall crawler marks him finally hitting his stride, adding some much needed comedic relief to this film, which was needed to even out the darker tone.While the acting is simply stunning on all fronts, the writing is a bit lackluster at times. Some of the more recent Marvel films have seemed to shoehorn comedic tones into the films when not really needed, which I believe was partially due to the success of The Guardians of the Galaxy. This has been hit or miss; this go around, the writing lets the smartass quips flow naturally from the characters known for them and rarely feels forced. Dave Bautista’s Drax, no doubt a fan favorite in the vein of Groot after this appearance, is simply hilarious anytime he’s on screen.The laughs come often, but by the end of the film most fans will be stoic, if not crying due to the overly bleak ending. The body count is staggering to say the least, with many major characters being removed from the equation. Sure, this is a comic book movie where they could and probably will bring most if not all of the characters back, but I have not been this torn on an ending since The Walking Dead introduced Negan.If you are hyped about the film, you’ve likely seen most (if not all) of the MCU’s other ventures. While many of the past films are enjoyable as standalone experiences, Infinity War requires you to see most of the previous movies to fully understand the narrative and all of its moving pieces. Because of this it might lose some of the younger viewers, as my five year old struggled throughout the film despite it being rather action packed and quick to the point. The fight scenes are all well done and the sheer size of the climax rivals the enormous battles from The Lord of the Rings films. I found the various forms of the Iron Man suits to be a bit overused, as there are a whopping four versions counting War Machine, Iron Man (with his new nano-somethingorother suit that looks more like Venom-like symbiote than Venom does in the new movie trailer), Spider-Man, and a fourth surprise character (you can probably figure this out by the trailer alone, but I won’t spoil it).If you’ve been following the MCU, this is what ten years of work has lead up to and absolutely worth the wait and countless hours invested in the franchise, for both those involved in the film making process and viewers alike. I am just saddened that it’ll be another year before we can see what the next Avenger’s tale has in store for us.",2018-05-07,9,5,5,0,English
119,Rachata,"Everything from this film just perfect, I watched it 2 times and I loved it",2018-04-30,10,5,5,0,English
121,Barca_iniesta8,"lol this movie is a big mess, but I really enjoyed it, thus the ending is pretty shocking and hopefully, the second part is more organized and gives more time to explain things the right way instead of rushing through the action scenes",2018-04-29,7,5,5,0,English
122,GrandPachoZ,"I check box to spoilers because I will talk the end the of the movie and  It is awesome if you see different movie end where alls or almost superhero's movies the goods guys beat to bad guys, in this case showed other end. Other thing was the behavior of Thanos that showed somebody that want do good things for the universe. I was thinking in disappointed movie but not.",2018-05-03,10,5,5,0,English
123,Dr_Silev,"Visuals: 9Story: 9.5Plot twists: 10Villain: 9.5Emotional moments: 10Epic battles: 9,5Characters: 9,5Jokes: 9Seriousness: 9,5",2018-04-30,10,5,5,0,English
124,pb1247,First of all stay away from spoilers they may break the movie for you. But this movie is a masterpiece. It beat so many of my expectations even though they may have lied to us about it not being part 1 of 2 when it clearly was it doesn't even matter. Thanos is an unstoppable god and fixed marvels villain problem. They well balanced all heroes and you just have to see this movie you can't not see it in theaters this movie will be an event remembered for years.,2018-04-30,10,5,5,0,English
125,PVOdaZom,"Amazing ending, had all the good characters and thanos was epic an true masterpiece",2018-04-30,10,5,5,0,English
126,Zagbuster,"Infinitely entertaining. Fun, shocking, and wonderful. A Marvelous masterpiece.",2018-04-30,10,5,5,0,English
127,ADDM,"this movie is the culmination of a 10-year project in such a masterful way, something that was never seen before, even if you are not a fan of the genre of the super heroes it is impossible not to give it a chance, simply wonderful, really fantastic movie",2018-04-30,10,5,5,0,English
128,DRoselli,"They killed Spider-Man after one movie. That took balls. 10/10, would see it again.",2018-04-30,10,5,5,0,English
130,cory34,"This is a great movie and the scores confirm it: The ""superhero fatigue"" is not coming anytime soon.",2018-05-03,10,5,5,0,English
131,magnusaa,"action, action and a hell lot of fun! best movie in ages. at least at the same level as ragnarok! marvel is getting better and better.",2018-05-03,10,5,5,0,English
133,Loveland,"I will preface this by stating that I am normally not a fan of Marvel movies. They often contain nonchalant humor at inappropriate times along with redundant plots that have no imagination behind them. That being said, I really enjoyed Infinity War. I wasn't ever a reader of comic books, so I won't judge this movie for its portrayal of the comic stories. As a movie it had an interesting plot that separated itself from other Marvel movies. The fact that the infinity stones are the central focus of the movie create the Lord of the Rings/Harry Potter effect where its not simply a battle between good and evil, but rather a race to obtain or prevent consolidated power. While it seems nearly every Marvel movie revolves around saving the universe from a dire threat, the feeling is real in infinity war, as you are given an idea of the power of the stones early on. Throughout the film there were good twists, emotional moments, and some actually well timed humor that all cumulated in an epic ending that set up a sequel film perfectly. Josh Brolin as Thanos made the movie. He is easily the best Marvel villain in any of the movies. Not only was Josh Brolin's acting outstanding, but the writers made him a complex character. Rather than portraying him as a holistically evil being set out to kill everyone, they explained the reasoning behind his beliefs and even made him an emotionally conscious character. As far as the other actors, Tom Holland is outstanding as Spider-Man, and the rest of the Avengers are essentially the usual performances.My problems with the movie mainly focus around my usual complaints with Marvel movies, although to a lesser degree in this one. While not riddled with out-of-place, nonchalant humor, there was some that made my eyes roll during the middle of intense action scenes. The beginning, while action-packed, was a little sloppy in terms of getting all of the characters involved (obviously this is a huge crossover movie though, so I wasn't that surprised). My biggest problem with this movie was the fact that there were some scenes that seemed unnecessary (an obvious example is within Thor's story arc), and either dragged the film out longer than needed, or stole screen time from other scenes that could've been more improving.Overall, it was very well done and very enjoyable, and I would highly recommend this movie to everyone!",2018-05-05,7,5,5,0,English
134,Wmwheeler,"The culmination of 10 years that we’ve all been waiting for did not disappoint. This movie is filled with ok enty of action, and of course marvels signature humor. To see how the well developed characters interacted with each other was amazing and done to perfection.",2018-05-06,10,5,5,0,English
135,fonki,"This movie is very good. To some extent it's even brave, for the choice of a rather gloomy development, seeding very interesting elements for the next episodes.Cons: - It's a Marvel crossover. whoever reads the comics knows already pros and cons of this. Like the random unnecessary reintroduction of well forgotten characters. And the chaos. And the fact that no one dies in the Marvel Universe.- Good story but slow pace (similarly to Avengers 2).- Some minor story choices. Especially the Thor subplot: quite long and ultimately unecessary; every cool element introduced in Ragnarok is actually ignored here.- the mind stone: i mean what is it? it's the only infinity stone not seen in action.Pros: - Thanos. This movie is about him. I loved it. Even stretching his motives - quite different from the comic - he remains both mad and rational. very well developed.- Gamora. Finally some development of her character, after the disappointment of Guardian of the Galaxy 2.- Badass fightings: especially everything involving Spiderman and Doctor Strange, and Thor.- The time stone: doctor Strange has concocted something!- The soul stone: maybe the best part of the plot.",2018-05-07,8,5,5,0,English
136,kellykev7,Great Movie but i feel it shouldn't be a 2 hour movie not really enough time to explain actions of Thanos,2018-05-14,8,5,5,0,English
137,NavarroCritique,"Though a lot of bad things have been said about the hulk and how this movie was done, I'd still give it a higher review.We must remember this movie was 149 mins long, of course some parts were gonna be underwhelming.The movie is a terrific set up for the next part and will be longer and better than this one",2018-05-27,8,5,5,0,English
138,hello712,It was a great movie and not too overcrowded.I like how they divided the characters into different sections and not add ant man and hawkye.they were great characters but if they were added in the movie would feel more stuffed and not as entertaining as the final cut,2018-06-17,8,5,5,0,English
140,Jesp1,"Almost the PERFECT superhero movie.  So good, plot twists, action, everything!  Worst thing I can say is they did cram a lot into it, so at times feels rushed.  OMG though this solidifies MCU into LoTR and Original trilogy territory by FAR!",2018-08-02,10,4,4,0,English
141,LuciusMcGibbon,"How are people surprised at this ending? So many reviews talking as if the sad ending is a studio marketing decision to drum up future sequels or something.   A) Read a **** comic book. B) I don't think they need help generating new movies. Expecting a happy ending in this movie would be like expecting Jesus to sprout Bat-skates at the end of The Passion and mule kick himself off the cross. All I look for anymore in MCU movies is watchable characters, escalating epicness,  just a touch of thoughtful plotting, and in general a superhero story that doesn't end up strangling itself to death before my very eyes. *cough* DC. This movie does just fine on all fronts. I clearly still had my socks on when this one was over, but it all played excellently. I must say I'm growing more and more impressed with Marvel's ability to stuff some humor into every orifice of a script without it feeling excessive or off-key. Best MCU movie, though? Eh. The first Avengers is still the gold standard for plot, but Thanos certainly does set a new standard of his own for his many memorable villainousnesseses.I have to hand it to Marvel; they didn't peter out on The Snap (hidden pun!) I actually think it's a breath of fresh air to see such a decisively unhappy finish. Is it permanent? Again, READ A F$*%ING COMIC, jeez.",2018-05-13,8,4,4,0,English
142,pnoyfilmtvadik,i was really entertained.  lots to talk about after the movie.  not overwhelming despite all the major characters in one big movie.  i'd watch it again.,2018-05-07,7,4,4,0,English
143,yoshi594,"This is the movie X-MEN: Age of Apocalypse should have been. This movie is impressive as it manages to showcase each of the characters from the previous instalments without compromising the quality of the movie.Thanos feels as epic and threatening as the first time we saw/heard about him in the marvel cinematic universe. Marvel has finally found their ultimate super villain! He isn't a cookie cutter villain like Steppenwolf from Justice League, he's layered and at times...actually throughout the film I was on his side to succeed. I can't type anymore without spoiling the film, please go watch this amazing film!",2018-04-29,10,4,4,0,English
144,Tallrothen,By far the best Avenger movie to date. With focus on the most interesting heros and a great variety of unique villains it's a must see for the marvel enthusiast.,2018-05-07,10,4,4,0,English
